"File","Experiment","Condition","Subset"
"QX21619GM.raw","BIO40","A1","y"
"QX21842GM.raw","BIO49","A10","y"
"QX21652GM.raw","BIO50","A11","y"
"QX21616GM.raw","BIO51","A12","y"
"QX21711GM.raw","BIO52","A13","y"
"QX21764GM.raw","BIO53","A14","y"
"QX21794GM.raw","BIO54","A15","y"
"QX21708GM.raw","BIO55","A16","x"
"QX21586GM.raw","BIO56","A17","x"
"QX21720GM.raw","BIO58","A19","y"
"QX21502GM.raw","BIO41","A2","y"
"QX21607GM.raw","BIO59","A20","y"
"QX21493GM.raw","BIO60","A21","x"
"QX21523GM.raw","BIO61","A22","y"
"QX21749GM.raw","BIO62","A23","x"
"QX21812GM.raw","BIO64","A25","y"
"QX21743GM.raw","BIO65","A26","y"
"QX21520GM.raw","BIO66","A27","x"
"QX21773GM.raw","BIO67","A28","y"
"QX21640GM.raw","BIO68","A29","y"
"QX21839GM.raw","BIO42","A3","y"
"QX21806GM.raw","BIO70","A31","y"
"QX21687GM.raw","BIO71","A32","y"
"QX21487GM.raw","BIO72","A33","x"
"QX21782GM.raw","BIO73","A34","y"
"QX21824GM.raw","BIO75","A36","y"
"QX21684GM.raw","BIO76","A37","y"
"QX21592GM.raw","BIO77","A38","y"
"QX21791GM.raw","BIO78","A39","y"
"QX21583GM.raw","BIO43","A4","x"
"QX21637GM.raw","BIO79","A40","y"
"QX21508GM.raw","BIO80","A41","x"
"QX21851GM.raw","BIO81","A42","y"
"QX21568GM.raw","BIO83","A44","y"
"QX21526GM.raw","BIO85","A46","y"
"QX21562GM.raw","BIO86","A47","x"
"QX21595GM.raw","BIO87","A48","y"
"QX21678GM.raw","BIO88","A49","x"
"QX21643GM.raw","BIO44","A5","y"
"QX21610GM.raw","BIO89","A50","x"
"QX21758GM.raw","BIO90","A51","y"
"QX21514GM.raw","BIO91","A52","y"
"QX21655GM.raw","BIO93","A54","y"
"QX21696GM.raw","BIO94","A55","y"
"QX21800GM.raw","BIO45","A6","x"
"QX21571GM.raw","BIO46","A7","x"
"QX21517GM.raw","BIO48","A9","y"
"QX21767GM.raw","BIO97","B101","y"
"QX21770GM.raw","BIO102","B103","x"
"QX21803GM.raw","BIO106","B105","y"
"QX21723GM.raw","BIO96","B114","y"
"QX21830GM.raw","BIO107","B123","x"
"QX21818GM.raw","BIO100","B148","y"
"QX21699GM.raw","BIO98","B149","y"
"QX21675GM.raw","BIO99","B156","x"
"QX21797GM.raw","BIO108","B159","x"
"QX21690GM.raw","BIO95","B202","y"
"QX21746GM.raw","BIO105","B36","y"
"QX21788GM.raw","BIO101","B48","y"
"QX21833GM.raw","BIO103","B96","y"
"QX21740GM.raw","BIO1","B1","y"
"QX21714GM.raw","BIO10","B10","y"
"QX21472GM.raw","BIO27","B11","y"
"QX21484GM.raw","BIO12","B12","x"
"QX21693GM.raw","BIO13","B13","y"
"QX21511GM.raw","BIO14","B14","x"
"QX21565GM.raw","BIO17","B17","y"
"QX21604GM.raw","BIO19","B19","x"
"QX21559GM.raw","BIO2","B2","x"
"QX21672GM.raw","BIO20","B20","y"
"QX21717GM.raw","BIO22","B22","x"
"QX21490GM.raw","BIO23","B23","y"
"QX21628GM.raw","BIO24","B24","y"
"QX21601GM.raw","BIO26","B26","x"
"QX21469GM.raw","BIO35","B27","x"
"QX21613GM.raw","BIO28","B28","y"
"QX21776GM.raw","BIO29","B29","x"
"QX21634GM.raw","BIO3","B3","x"
"QX21589GM.raw","BIO30","B30","y"
"QX21580GM.raw","BIO31","B31","y"
"QX21649GM.raw","BIO33","B33","x"
"QX21466GM.raw","BIO47","B35","y"
"QX21577GM.raw","BIO36","B36","y"
"QX21755GM.raw","BIO37","B37","y"
"QX21556GM.raw","BIO38","B38","y"
"QX21752GM.raw","BIO39","B39","y"
"QX21845GM.raw","BIO5","B5","y"
"QX21631GM.raw","BIO7","B7","x"
"QX21625GM.raw","BIO8","B8","x"
"QX21460GM.raw","BIO18","B9","x"
